Product ID,sku,Product name,Total click count
9.05E+12,BM-110,"Yanco BM-110 Birmingham 10 1/4"" Melamine Round Plate, Pack of 24",4
9.05E+12,NA-414BK,"Yanco NA-414BK Nature Art 3 1/2"" Black Melamine Rectangular Long Tray, Pack of 36",4
9.05E+12,WTBS-12P,Cadco WTBS-12P Electric Buffet Server with Clear Lid - 120V,4
9.05E+12,WTBS-3RT,Cadco WTBS-3RT 3-Compartment Third Size Electric Buffet Server with Roll Top Lid - 120V,4
9.02E+12,DCP123A35AA,"Amana DCP123A35AA Distinctions 42"" Packaged Terminal Air Conditioner Unit Air Conditioner with 3.5 kW Heat Strip and Cooling Capacity of 12,000 BTU, R-410A, 10.7 EER, Quiet White, 208/230v",4
9.02E+12,WS900QW-SC,"Amana WS900QW-SC 42"" Insulated Galvanized Steel Wall Sleeve with Sea Coast Protection, Quiet White Color",4
9.02E+12,WS900QW-GS,"Amana WS900QW 42"" Galvanized Insulated Steel PTAC Wall Sleeve with Sound Attenuating Insulation, Quiet White Color",4
8.96E+12,BBC-215BH,"Back Bar Cooler Beverage Refrigerator With 2 Glass Doors, 7.4 Cu.Ft",4
8.95E+12,ETF3,"Everest Refrigeration ETF3 71 1/8"" Side Mount Solid Door Undercounter Freezer, 115 V, 1 Phase, 60 Hz",4
8.95E+12,1001163,"Ballarini 1001163 Nero Spatula, Small",4
8.95E+12,1003242,"Staub 1003242 10"" Domed Glass Lid for Cast Iron Cookware",4
8.95E+12,1004713,"Staub 1004713 Cast Iron 0.25-qt Round Cast Iron Cocotte, Burnt Orange",4
8.94E+12,TFS-11F-N,"Turbo Air TFS-11F-N 40"" Horizontal Top Open Display Freezer, 13.77 cu. Ft., 115/60/1",4
8.94E+12,BMCBS01,"BakeMax BMCBS01 18.9"" Titan Series Electric Bone Saw, Countertop, 120v/60/1",4
8.94E+12,BMTSC14,"BakeMax BMTSC14 14"" Titan Series Heated Warmer/Display Case, Countertop, 800 watts",4
8.94E+12,BMPM020,"BakeMax BMPM020 20"" Countertop Planetary Mixer, 20 Qt",4
8.94E+12,BMSM120,"BakeMax BMSM120 Spiral Dough Mixer, 265 Lb, 190 Qt Bowl",4
8.93E+12,CHDS-71,"Atosa CHDS-71 35.38"" Countertop Heated Square Display Case 7.1  Cu. Ft",4
